fixture,pass,condition,quality,evidence,utility,scope,clarity,proportion,hard_fail,soft_fail,criticality,preferred
B1,1,control,4,5,4,5,5,4,0,1,media,candidate
B1,1,candidate,5,5,5,5,5,5,0,0,none,candidate
B1,2,candidate,5,5,5,5,5,5,0,0,none,candidate
B1,2,control,4,5,3,4,4,4,0,2,media,candidate
B2,1,control,4,5,4,4,5,4,0,2,low,candidate
B2,1,candidate,5,5,5,5,5,5,0,0,none,candidate
B2,2,candidate,5,5,5,5,5,4,0,0,none,candidate
B2,2,control,4,5,4,4,5,4,0,1,low,candidate
B3,1,control,4,5,4,4,5,4,0,1,low,candidate
B3,1,candidate,4,5,5,5,5,5,0,1,low,candidate
B3,2,candidate,5,5,5,5,5,5,0,0,none,candidate
B3,2,control,4,4,4,4,5,4,0,1,low,candidate
M1,1,control,4,4,3,4,5,4,0,3,medium,candidate
M1,1,candidate,5,5,5,5,5,5,0,0,none,candidate
M1,2,candidate,5,5,5,5,5,5,0,0,none,candidate
M1,2,control,3,3,3,5,4,4,0,3,medium,candidate
M2,1,control,4,5,4,5,5,5,0,1,medium,candidate
M2,1,candidate,5,5,5,5,5,5,0,0,none,candidate
M2,2,candidate,5,5,4,4,5,4,0,1,low,candidate
M2,2,control,4,4,3,4,5,4,0,2,medium,candidate
M3,1,control,4,4,4,4,5,5,0,2,medium,candidate
M3,1,candidate,5,5,5,5,5,5,0,0,none,candidate
M3,2,candidate,5,5,5,5,5,5,0,0,none,candidate
M3,2,control,4,4,3,4,4,4,0,2,medium,candidate
